id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	43	39	4	43	4	0
2	0	190	190	215	10	15	25	15	0
3	4	234	234	316	74	8	82	8	0
4	0	550	550	586	18	18	36	18	0
5	0	805	805	806	1	0	1	0	0
6	0	851	851	854	3	0	3	0	0
7	0	1022	1022	1023	1	0	1	0	0
8	0	1105	1105	1107	2	0	2	0	0
9	0	1136	1136	1142	6	0	6	0	0
10	1	1248	1248	1272	24	0	24	0	0
12	1	1454	1454	1488	34	0	34	0	0
11	2	1408	1408	1489	26	27	81	55	0
13	0	1551	1551	1568	17	0	17	0	0
14	0	1590	1590	1605	6	9	15	9	0
15	0	1707	1707	1713	6	0	6	0	0
17	2	1992	1995	2036	41	0	44	3	3
16	5	1909	1909	2080	120	10	171	51	0
18	0	2105	2105	2125	14	6	20	6	0
19	0	2186	2186	2187	1	0	1	0	0
20	3	2244	2244	2310	60	6	66	6	0
22	0	2328	2330	2332	2	0	4	2	2
21	2	2298	2310	2406	54	0	108	54	12
23	3	2340	2352	2460	65	29	120	55	12
24	0	2488	2488	2512	19	5	24	5	0
25	5	2800	2800	2961	102	59	161	59	0
26	0	2963	2963	2978	15	0	15	0	0
30	0	3354	3369	3411	22	20	57	35	15
31	1	3356	3382	3426	35	0	70	35	26
29	1	3340	3349	3427	21	0	87	66	9
32	1	3435	3444	3468	24	0	33	9	9
28	3	3308	3309	3508	57	9	200	143	1
27	2	3214	3214	3570	87	138	356	269	0
33	0	3528	3528	3582	41	13	54	13	0
34	0	3616	3616	3624	8	0	8	0	0
36	1	3928	3929	3960	31	0	32	1	1
35	2	3849	3849	3974	53	58	125	72	0
37	2	4085	4085	4127	41	1	42	1	0
38	2	4507	4507	4571	45	19	64	19	0
39	0	4757	4757	4763	6	0	6	0	0
40	0	4776	4776	4863	17	44	87	70	0
41	2	4794	4794	4873	59	13	79	20	0
42	0	5054	5054	5062	8	0	8	0	0
43	0	5513	5513	5514	1	0	1	0	0
45	0	5651	5666	5670	4	0	19	15	15
44	3	5564	5564	5689	86	24	125	39	0
46	0	5666	5670	5704	26	1	38	12	4
47	0	5843	5843	5855	12	0	12	0	0
48	0	6141	6141	6183	21	21	42	21	0
49	2	6333	6333	6372	23	16	39	16	0
50	0	6681	6681	6682	1	0	1	0	0
0	0	0	0	6682	5193	0	6682	1489	0
