id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	38	15	23	38	23	0
2	0	171	171	183	12	0	12	0	0
3	0	174	183	326	123	20	152	29	9
4	0	303	326	355	11	18	52	41	23
5	0	380	380	393	8	5	13	5	0
6	0	469	469	483	10	4	14	4	0
7	0	516	516	532	16	0	16	0	0
8	0	546	546	580	34	0	34	0	0
9	0	860	860	863	3	0	3	0	0
10	0	989	989	1040	37	14	51	14	0
11	0	1502	1502	1570	44	8	68	24	0
12	0	1526	1531	1597	35	31	71	36	5
13	0	1623	1623	1650	27	0	27	0	0
14	0	1875	1875	1909	34	0	34	0	0
15	0	2088	2088	2200	50	62	112	62	0
16	0	2229	2229	2230	1	0	1	0	0
17	0	2316	2316	2328	12	0	12	0	0
19	0	3100	3105	3168	60	3	68	8	5
18	0	3090	3090	3231	68	46	141	73	0
20	0	3431	3431	3700	162	107	269	107	0
0	0	0	0	3700	2938	0	3700	762	0
