id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	4	4	23	19	0	19	0	0
1	4	0	0	113	56	38	113	57	0
4	1	61	61	138	36	25	77	41	0
3	7	29	57	241	87	43	212	125	28
5	2	290	290	337	35	12	47	12	0
6	1	389	389	425	36	0	36	0	0
8	0	537	537	555	18	0	18	0	0
7	0	512	512	564	17	35	52	35	0
9	0	661	661	755	29	65	94	65	0
10	1	776	776	840	46	18	64	18	0
11	0	880	880	936	29	27	56	27	0
12	0	1041	1041	1049	8	0	8	0	0
13	0	1306	1306	1344	10	28	38	28	0
14	0	1361	1361	1404	24	19	43	19	0
16	0	1566	1566	1585	17	2	19	2	0
15	0	1562	1562	1596	17	0	34	17	0
17	3	1584	1596	1721	86	39	137	51	12
18	0	2000	2000	2035	30	5	35	5	0
19	0	2280	2280	2306	9	17	26	17	0
20	1	2593	2593	2616	23	0	23	0	0
0	0	0	0	2616	1984	0	2616	632	0
