id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	3	0	0	63	56	7	63	7	0
2	0	66	66	99	4	29	33	29	0
3	2	220	220	308	46	42	88	42	0
4	0	523	523	525	2	0	2	0	0
5	1	634	634	671	23	14	37	14	0
6	0	905	905	915	10	0	10	0	0
7	0	1272	1272	1292	6	14	20	14	0
8	2	1415	1415	1450	34	1	35	1	0
10	0	1514	1514	1562	21	27	48	27	0
9	5	1481	1481	1616	92	23	135	43	0
11	0	1708	1708	1714	6	0	6	0	0
12	1	1912	1912	1934	22	0	22	0	0
13	0	1980	1980	1990	10	0	10	0	0
15	0	2104	2104	2144	16	15	40	24	0
14	6	2029	2029	2167	87	31	138	51	0
16	0	2105	2105	2179	19	55	74	55	0
17	0	2184	2184	2215	19	12	31	12	0
18	3	3039	3039	3141	55	47	102	47	0
19	1	3190	3190	3216	26	0	26	0	0
20	0	3229	3229	3239	10	0	10	0	0
21	2	3464	3464	3494	26	4	30	4	0
22	0	3789	3789	3805	8	0	16	8	0
23	0	3795	3795	3853	28	30	58	30	0
24	0	3893	3893	3897	4	0	4	0	0
25	1	3957	3957	3980	23	0	23	0	0
26	2	4018	4018	4082	50	14	64	14	0
27	0	4094	4094	4133	21	18	39	18	0
28	0	4331	4331	4360	27	2	29	2	0
29	0	4387	4387	4413	24	2	26	2	0
30	2	4412	4413	4485	49	23	73	24	1
31	4	4429	4436	4522	57	3	93	36	7
32	0	4620	4620	4623	3	0	3	0	0
33	1	5156	5156	5246	43	47	90	47	0
35	0	5392	5392	5393	1	0	1	0	0
34	3	5356	5356	5490	46	88	134	88	0
36	2	5839	5839	5881	42	0	42	0	0
37	0	6112	6112	6122	10	0	10	0	0
38	1	6439	6439	6463	24	0	24	0	0
39	1	6486	6486	6521	35	0	35	0	0
40	0	6541	6541	6548	7	0	7	0	0
41	0	6564	6564	6620	13	42	56	43	0
43	0	6634	6634	6640	6	0	6	0	0
42	0	6610	6610	6646	19	11	36	17	0
44	0	6813	6813	6829	6	10	16	10	0
45	0	6974	6974	6980	6	0	6	0	0
46	0	7048	7048	7050	2	0	2	0	0
47	0	7249	7249	7295	23	23	46	23	0
48	2	7313	7313	7357	44	0	44	0	0
49	3	7654	7654	7712	53	5	58	5	0
50	3	8438	8438	8503	54	11	65	11	0
0	0	0	0	8503	7185	0	8503	1318	0
